olympics_loc, year, event, gender, group, country, athlete_name, result
London,1908,100m Backstroke,Men,Swimming,DEN,Ludwig Dam,00:01:26.60
London,1908,100m Backstroke,Men,Swimming,GBR,Haresnape,00:01:27.00
London,1908,100m Freestyle,Men,Swimming,USA,Daniels,00:01:05.60
London,1908,100m Freestyle,Men,Swimming,HUN,Halmay,00:01:06.20
London,1908,100m Freestyle,Men,Swimming,SWE,Julin,00:01:08.00
London,1908,1500m Freestyle,Men,Swimming,GBR,Taylor,00:22:48.40
London,1908,1500m Freestyle,Men,Swimming,GBR,Battersby,00:22:51.20
London,1908,1500m Freestyle,Men,Swimming,AUS,De Beaurepaire,00:22:56.20
London,1908,200m Breaststroke,Men,Swimming,GBR,Holman,00:03:09.20
London,1908,200m Breaststroke,Men,Swimming,GBR,Robinson,00:03:12.80
London,1908,200m Breaststroke,Men,Swimming,SWE,Hansson,00:03:14.60
London,1908,200m Breaststroke,Men,Swimming,HUN,Toldi,00:03:15.20
London,1908,400m Freestyle,Men,Swimming,GBR,Taylor,00:05:36.80
London,1908,400m Freestyle,Men,Swimming,AUS,De Beaurepaire,00:05:46.00
London,1908,400m Freestyle,Men,Swimming,AUT,Scheff,00:05:46.00
London,1908,4x200 Freestyle Relay,Men,Swimming,GBR,,00:10:55.60
London,1908,4x200 Freestyle Relay,Men,Swimming,HUN,,00:10:59.00
London,1908,4x200 Freestyle Relay,Men,Swimming,USA,,00:11:02.80
London,1908,4x200 Freestyle Relay,Men,Swimming,AUS,,00:11:14.00

Stockholm,1912,100m Backstroke,Men,Swimming,USA,Hebner,00:01:21.20
Stockholm,1912,100m Backstroke,Men,Swimming,GER,Fahr,00:01:22.40
Stockholm,1912,100m Backstroke,Men,Swimming,GER,Kellner,00:01:24.00
Stockholm,1912,100m Backstroke,Men,Swimming,HUN,Baronyi,00:01:25.20
Stockholm,1912,100m Backstroke,Men,Swimming,GER,Gross,00:01:25.80
Stockholm,1912,100m Freestyle,Men,Swimming,USA,Kahanamoku,00:01:03.40
Stockholm,1912,100m Freestyle,Men,Swimming,AUS,Healy,00:01:04.60
Stockholm,1912,100m Freestyle,Men,Swimming,USA,Huszagh,00:01:05.60
Stockholm,1912,100m Freestyle,Men,Swimming,GER,Bretting,00:01:05.80
Stockholm,1912,100m Freestyle,Men,Swimming,GER,Ramme,00:01:06.40
Stockholm,1912,100m Freestyle,Women,Swimming,AUS,Durack,00:01:22.20
Stockholm,1912,100m Freestyle,Women,Swimming,AUS,Wylie,00:01:25.40
Stockholm,1912,100m Freestyle,Women,Swimming,GBR,Fletcher,00:01:27.00
Stockholm,1912,100m Freestyle,Women,Swimming,GER,Rosenberg,00:01:27.20
Stockholm,1912,100m Freestyle,Women,Swimming,GBR,Speirs,00:01:27.40
Stockholm,1912,1500m Freestyle,Men,Swimming,CAN,Hodgson,00:22:00.00
Stockholm,1912,1500m Freestyle,Men,Swimming,GBR,Hatfield,00:22:39.00
Stockholm,1912,1500m Freestyle,Men,Swimming,AUS,Hardwick,00:23:15.40
Stockholm,1912,200m Breaststroke,Men,Swimming,GER,Bathe,00:03:01.80
Stockholm,1912,200m Breaststroke,Men,Swimming,GER,Lutzow,00:03:05.00
Stockholm,1912,200m Breaststroke,Men,Swimming,GER,Malisch,00:03:08.00
Stockholm,1912,400m Breaststroke,Men,Swimming,GER,Bathe,00:06:29.60
Stockholm,1912,400m Breaststroke,Men,Swimming,SWE,Henning,00:06:35.60
Stockholm,1912,400m Breaststroke,Men,Swimming,GBR,Courtman,00:06:36.40
Stockholm,1912,400m Breaststroke,Men,Swimming,GER,Malisch,00:06:37.00
Stockholm,1912,400m Freestyle,Men,Swimming,CAN,Hodgson,00:05:24.40
Stockholm,1912,400m Freestyle,Men,Swimming,GBR,Hatfield,00:05:25.80
Stockholm,1912,400m Freestyle,Men,Swimming,AUS,Hardwick,00:05:31.20
Stockholm,1912,400m Freestyle,Men,Swimming,AUS,Healy,00:05:37.80
Stockholm,1912,400m Freestyle,Men,Swimming,HUN,Las Torres,00:05:42.00
Stockholm,1912,4x100 Freestyle Relay,Women,Swimming,GBR,,00:05:52.80
Stockholm,1912,4x100 Freestyle Relay,Women,Swimming,GER,,00:06:04.60
Stockholm,1912,4x100 Freestyle Relay,Women,Swimming,AUT,,00:06:17.00
Stockholm,1912,4x200 Freestyle Relay,Men,Swimming,AUS,,00:10:11.20
Stockholm,1912,4x200 Freestyle Relay,Men,Swimming,USA,,00:10:20.20
Stockholm,1912,4x200 Freestyle Relay,Men,Swimming,GBR,,00:10:28.60
Stockholm,1912,4x200 Freestyle Relay,Men,Swimming,GER,,00:10:37.00


Antwerp,1920,100m Backstroke,Men,Swimming,USA,Paoa Kealoha,00:01:15.20
Antwerp,1920,100m Backstroke,Men,Swimming,USA,Kegeris,00:01:16.80
Antwerp,1920,100m Backstroke,Men,Swimming,BEL,Blitz,00:01:19.00
Antwerp,1920,100m Backstroke,Men,Swimming,USA,Mcgillivray,00:01:19.40
Antwerp,1920,100m Freestyle,Men,Swimming,USA,Paoa Kahanamoku,00:01:01.40
Antwerp,1920,100m Freestyle,Men,Swimming,USA,Kealoha,00:01:02.60
Antwerp,1920,100m Freestyle,Men,Swimming,USA,Harris,00:01:03.00
Antwerp,1920,100m Freestyle,Men,Swimming,AUS,Herald,00:01:03.80
Antwerp,1920,100m Freestyle,Women,Swimming,USA,Bleibtrey,00:01:13.60
Antwerp,1920,100m Freestyle,Women,Swimming,USA,Guest,00:01:17.00
Antwerp,1920,100m Freestyle,Women,Swimming,USA,Schroth,00:01:17.20
Antwerp,1920,100m Freestyle,Women,Swimming,GBR,Mabel Jeans,00:01:22.80
Antwerp,1920,1500m Freestyle,Men,Swimming,USA,Ross,00:22:23.20
Antwerp,1920,200m Breaststroke,Men,Swimming,SWE,Malmrot,00:03:04.40
Antwerp,1920,200m Breaststroke,Men,Swimming,SWE,Henning,00:03:09.20
Antwerp,1920,200m Breaststroke,Men,Swimming,FIN,Aaltonen,00:03:12.20
Antwerp,1920,400m Breaststroke,Men,Swimming,SWE,Malmot,00:06:31.80
Antwerp,1920,400m Breaststroke,Men,Swimming,SWE,Henning,00:06:45.20
Antwerp,1920,400m Breaststroke,Men,Swimming,FIN,Aaltonen,00:06:48.00
Antwerp,1920,400m Breaststroke,Men,Swimming,USA,Howell,00:06:51.00
Antwerp,1920,400m Freestyle,Men,Swimming,USA,Ross,00:05:26.80
Antwerp,1920,400m Freestyle,Men,Swimming,USA,Langer,00:05:29.00
Antwerp,1920,400m Freestyle,Men,Swimming,CAN,Vernot,00:05:29.60
Antwerp,1920,4x100 Freestyle Relay,Women,Swimming,USA,,00:05:11.60
Antwerp,1920,4x100 Freestyle Relay,Women,Swimming,GBR,,00:05:40.80
Antwerp,1920,4x100 Freestyle Relay,Women,Swimming,SWE,,00:05:43.60
Antwerp,1920,4x200 Freestyle Relay,Men,Swimming,USA,,00:10:04.40
Antwerp,1920,4x200 Freestyle Relay,Men,Swimming,AUS,,00:10:25.40
Antwerp,1920,4x200 Freestyle Relay,Men,Swimming,GBR,,00:10:37.20
Antwerp,1920,4x200 Freestyle Relay,Men,Swimming,SWE,,00:10:50.20

Paris,1924,100m Backstroke,Men,Swimming,USA,Paoa Kealoha,00:01:13.20
Paris,1924,100m Backstroke,Men,Swimming,USA,Wyatt,00:01:15.40
Paris,1924,100m Backstroke,Men,Swimming,HUN,Bartha,00:01:17.80
Paris,1924,100m Backstroke,Men,Swimming,GBR,Rawlinson,00:01:20.00
Paris,1924,100m Backstroke,Men,Swimming,BEL,Blitz,00:01:19.60
Paris,1924,100m Backstroke,Women,Swimming,USA,Bauer,00:01:23.20
Paris,1924,100m Backstroke,Women,Swimming,GBR,Harding,00:01:27.40
Paris,1924,100m Backstroke,Women,Swimming,USA,Riggin,00:01:28.20
Paris,1924,100m Backstroke,Women,Swimming,USA,Chambers,00:01:30.80
Paris,1924,100m Backstroke,Women,Swimming,TCH,Mullerova,00:01:31.20
Paris,1924,100m Freestyle,Men,Swimming,USA,Weissmuller,00:000:59.00
Paris,1924,100m Freestyle,Men,Swimming,USA,Paoa Kahanamoku,00:01:01.40
Paris,1924,100m Freestyle,Men,Swimming,USA,Sam Kahanamoku,00:01:01.80
Paris,1924,100m Freestyle,Men,Swimming,SWE,Borg,00:01:02.00
Paris,1924,100m Freestyle,Men,Swimming,JPN,Takaishi,00:01:03.00
Paris,1924,100m Freestyle,Women,Swimming,USA,Lackie,00:01:12.40
Paris,1924,100m Freestyle,Women,Swimming,USA,Wehselau,00:01:12.80
Paris,1924,100m Freestyle,Women,Swimming,USA,Ederle,00:01:14.20
Paris,1924,100m Freestyle,Women,Swimming,GBR,Mabel Jeans,00:01:15.40
Paris,1924,100m Freestyle,Women,Swimming,GBR,Tanner,00:01:20.80
Paris,1924,1500m Freestyle,Men,Swimming,AUS,Charlton,00:20:06.60
Paris,1924,1500m Freestyle,Men,Swimming,SWE,Borg,00:20:41.40
Paris,1924,1500m Freestyle,Men,Swimming,AUS,De Beaurepaire,00:21:48.40
Paris,1924,1500m Freestyle,Men,Swimming,JPN,Takaishi,00:22:10.40
Paris,1924,200m Breaststroke,Men,Swimming,USA,Skelton,00:02:56.60
Paris,1924,200m Breaststroke,Men,Swimming,BEL,De Combe,00:02:59.20
Paris,1924,200m Breaststroke,Men,Swimming,USA,Kirschbaum,00:03:01.00
Paris,1924,200m Breaststroke,Men,Swimming,SWE,Linders,00:03:02.20
Paris,1924,200m Breaststroke,Men,Swimming,SUI,Wyss,00:03:05.60
Paris,1924,200m Breaststroke,Women,Swimming,GBR,Morton,00:03:33.20
Paris,1924,200m Breaststroke,Women,Swimming,USA,Geraghty,00:03:34.00
Paris,1924,200m Breaststroke,Women,Swimming,GBR,Carson,00:03:35.40
Paris,1924,200m Breaststroke,Women,Swimming,SWE,Pettersson,00:03:37.60
Paris,1924,200m Breaststroke,Women,Swimming,GBR,Gilbert,00:03:38.00
Paris,1924,200m Breaststroke,Women,Swimming,LUX,Koster,00:03:39.20
Paris,1924,200m Breaststroke,Women,Swimming,SWE,Topel,00:03:47.60
Paris,1924,400m Freestyle,Men,Swimming,USA,Weissmuller,00:05:04.20
Paris,1924,400m Freestyle,Men,Swimming,SWE,Arne Borg,00:05:05.60
Paris,1924,400m Freestyle,Men,Swimming,AUS,Charlton,00:05:06.60
Paris,1924,400m Freestyle,Men,Swimming,SWE,Ake Borg,00:05:26.00
Paris,1924,400m Freestyle,Men,Swimming,GBR,Hatfield,00:05:32.00
Paris,1924,400m Freestyle,Women,Swimming,USA,Norelius,00:06:02.20
Paris,1924,400m Freestyle,Women,Swimming,USA,Wainwright,00:06:03.80
Paris,1924,400m Freestyle,Women,Swimming,USA,Ederle,00:06:04.80
Paris,1924,400m Freestyle,Women,Swimming,GBR,Molesworth,00:06:25.40
Paris,1924,4x100 Freestyle Relay,Women,Swimming,USA,,00:04:58.80
Paris,1924,4x100 Freestyle Relay,Women,Swimming,GBR,,00:05:17.00
Paris,1924,4x100 Freestyle Relay,Women,Swimming,SWE,,00:05:35.60
Paris,1924,4x100 Freestyle Relay,Women,Swimming,DEN,,00:05:42.40
Paris,1924,4x100 Freestyle Relay,Women,Swimming,FRA,,00:05:43.40
Paris,1924,4x100 Freestyle Relay,Women,Swimming,NED,,00:05:45.80
Paris,1924,4x200 Freestyle Relay,Men,Swimming,USA,,00:09:53.40


Amsterdam,1928,100m Backstroke,Men,Swimming,USA,Kojac,00:01:08.20
Amsterdam,1928,100m Backstroke,Men,Swimming,USA,Laufer,00:01:10.00
Amsterdam,1928,100m Backstroke,Men,Swimming,USA,Wyatt,00:01:12.00
Amsterdam,1928,100m Backstroke,Men,Swimming,JPN,Toshio,00:01:13.60
Amsterdam,1928,100m Backstroke,Men,Swimming,GER,Kuppers,00:01:13.80
Amsterdam,1928,100m Backstroke,Men,Swimming,GBR,Besford,00:01:15.40
Amsterdam,1928,100m Backstroke,Women,Swimming,NED,Philipsen-Braun,00:01:22.00
Amsterdam,1928,100m Backstroke,Women,Swimming,GBR,King,00:01:22.20
Amsterdam,1928,100m Backstroke,Women,Swimming,GBR,Cooper,00:01:22.80
Amsterdam,1928,100m Backstroke,Women,Swimming,USA,Gilman,00:01:24.40
Amsterdam,1928,100m Backstroke,Women,Swimming,USA,Holm,00:01:24.40
Amsterdam,1928,100m Backstroke,Women,Swimming,USA,Lindstrom,00:01:24.40
Amsterdam,1928,100m Backstroke,Women,Swimming,NZL,Stockley,00:01:25.80
Amsterdam,1928,100m Freestyle,Men,Swimming,USA,Weissmuller,00:000:58.60
Amsterdam,1928,100m Freestyle,Men,Swimming,HUN,Barany,00:00:59.80
Amsterdam,1928,100m Freestyle,Men,Swimming,JPN,Takaishi,00:01:00.00
Amsterdam,1928,100m Freestyle,Men,Swimming,USA,Kojac,00:01:00.80
Amsterdam,1928,100m Freestyle,Men,Swimming,USA,Laufer,00:01:01.00
Amsterdam,1928,100m Freestyle,Men,Swimming,CAN,Spence,00:01:01.40
Amsterdam,1928,100m Freestyle,Men,Swimming,ARG,Zorrilla,00:01:01.60
Amsterdam,1928,100m Freestyle,Women,Swimming,USA,Osipowich,00:01:11.00
Amsterdam,1928,100m Freestyle,Women,Swimming,USA,Saville,00:01:11.40
Amsterdam,1928,100m Freestyle,Women,Swimming,GBR,Cooper,00:01:13.60
Amsterdam,1928,100m Freestyle,Women,Swimming,USA,Mcdowall,00:01:13.80
Amsterdam,1928,100m Freestyle,Women,Swimming,USA,Laird,00:01:14.60
Amsterdam,1928,100m Freestyle,Women,Swimming,GER,Lehmann,00:01:15.20
Amsterdam,1928,1500m Freestyle,Men,Swimming,SWE,Arne Borg,00:019:51.80
Amsterdam,1928,1500m Freestyle,Men,Swimming,AUS,Charlton,00:020:02.60
Amsterdam,1928,1500m Freestyle,Men,Swimming,USA,Crabbe,00:020:28.80
Amsterdam,1928,1500m Freestyle,Men,Swimming,USA,Ruddy,00:021:05.00
Amsterdam,1928,1500m Freestyle,Men,Swimming,ARG,Zorrilla,00:021:23.80
Amsterdam,1928,1500m Freestyle,Men,Swimming,CAN,Ault,00:021:46.00
Amsterdam,1928,200m Breaststroke,Men,Swimming,JPN,Yoshiyuki Tsuruta,00:02:48.80
Amsterdam,1928,200m Breaststroke,Men,Swimming,GER,Rademacher,00:02:50.60
Amsterdam,1928,200m Breaststroke,Men,Swimming,PHI,TEOFILO YLDEFONSO,00:02:56.40
Amsterdam,1928,200m Breaststroke,Men,Swimming,GER,Sietas,00:02:56.60
Amsterdam,1928,200m Breaststroke,Men,Swimming,SWE,Harling,00:02:56.80
Amsterdam,1928,200m Breaststroke,Men,Swimming,CAN,Spence,00:02:57.20
Amsterdam,1928,200m Breaststroke,Women,Swimming,GER,Schrader,00:03:12.60
Amsterdam,1928,200m Breaststroke,Women,Swimming,NED,Baron,00:03:15.20
Amsterdam,1928,200m Breaststroke,Women,Swimming,GER,Mühe,00:03:17.60
Amsterdam,1928,200m Breaststroke,Women,Swimming,DEN,Jacobsen,00:03:19.00
Amsterdam,1928,200m Breaststroke,Women,Swimming,USA,Hoffman,00:03:19.20
Amsterdam,1928,200m Breaststroke,Women,Swimming,SWE,Hazelius,00:03:23.00
Amsterdam,1928,400m Freestyle,Men,Swimming,ARG,Zorrilla,00:05:01.60
Amsterdam,1928,400m Freestyle,Men,Swimming,AUS,Charlton,00:05:03.60
Amsterdam,1928,400m Freestyle,Men,Swimming,SWE,Arne Borg,00:05:04.60
Amsterdam,1928,400m Freestyle,Men,Swimming,USA,Crabbe,00:05:05.40
Amsterdam,1928,400m Freestyle,Men,Swimming,USA,Clapp,00:05:16.00
Amsterdam,1928,400m Freestyle,Men,Swimming,USA,Ruddy,00:05:25.00
Amsterdam,1928,400m Freestyle,Women,Swimming,USA,Norelius,00:05:42.80
Amsterdam,1928,400m Freestyle,Women,Swimming,NED,Philipsen-Braun,00:05:57.80
Amsterdam,1928,400m Freestyle,Women,Swimming,USA,Mckim,00:06:00.20
Amsterdam,1928,400m Freestyle,Women,Swimming,GBR,Stewart,00:06:07.00
Amsterdam,1928,400m Freestyle,Women,Swimming,RSA,Van Der Goes,00:06:07.20
Amsterdam,1928,400m Freestyle,Women,Swimming,GBR,Tanner,00:06:11.60
Amsterdam,1928,4x100 Freestyle Relay,Women,Swimming,USA,,00:04:47.60
Amsterdam,1928,4x100 Freestyle Relay,Women,Swimming,GBR,,00:05:02.80
Amsterdam,1928,4x100 Freestyle Relay,Women,Swimming,RSA,,00:05:13.40
Amsterdam,1928,4x100 Freestyle Relay,Women,Swimming,GER,,00:05:14.40
Amsterdam,1928,4x100 Freestyle Relay,Women,Swimming,FRA,,00:05:32.00
Amsterdam,1928,4x200 Freestyle Relay,Men,Swimming,USA,,00:09:36.20


Los Angeles,1932,100m Backstroke,Men,Swimming,JPN,Kiyokawa,00:01:08.60
Los Angeles,1932,100m Backstroke,Men,Swimming,JPN,Toshio,00:01:09.80
Los Angeles,1932,100m Backstroke,Men,Swimming,JPN,Kawatsu,00:01:10.00
Los Angeles,1932,100m Backstroke,Men,Swimming,USA,Zehr,00:01:10.00
Los Angeles,1932,100m Backstroke,Men,Swimming,GER,Kuppers,00:01:11.30
Los Angeles,1932,100m Backstroke,Men,Swimming,USA,Kerber,00:01:12.80
Los Angeles,1932,100m Backstroke,Women,Swimming,USA,Holm,00:01:19.40
Los Angeles,1932,100m Backstroke,Women,Swimming,AUS,Mealing,00:01:21.30
Los Angeles,1932,100m Backstroke,Women,Swimming,GBR,Davies,00:01:22.50
Los Angeles,1932,100m Backstroke,Women,Swimming,GBR,Harding,00:01:22.60
Los Angeles,1932,100m Backstroke,Women,Swimming,USA,Mcsheehy,00:01:23.20
Los Angeles,1932,100m Backstroke,Women,Swimming,GBR,Cooper,00:01:23.40
Los Angeles,1932,100m Freestyle,Men,Swimming,JPN,Mioyazaki,00:00:58.20
Los Angeles,1932,100m Freestyle,Men,Swimming,JPN,Kawaishi,00:00:58.60
Los Angeles,1932,100m Freestyle,Men,Swimming,USA,Schwartz,00:00:58.80
Los Angeles,1932,100m Freestyle,Men,Swimming,USA,Kalili,00:00:59.20
Los Angeles,1932,100m Freestyle,Men,Swimming,JPN,Takahashi,00:00:59.20
Los Angeles,1932,100m Freestyle,Men,Swimming,USA,Thompson,00:00:59.50
Los Angeles,1932,100m Freestyle,Women,Swimming,USA,Madison,00:01:06.80
Los Angeles,1932,100m Freestyle,Women,Swimming,NED,Den Ouden,00:01:07.80
Los Angeles,1932,100m Freestyle,Women,Swimming,USA,Saville,00:01:08.20
Los Angeles,1932,100m Freestyle,Women,Swimming,USA,Mckim,00:01:09.30
Los Angeles,1932,100m Freestyle,Women,Swimming,AUS,Bult,00:01:09.90
Los Angeles,1932,100m Freestyle,Women,Swimming,RSA,1,00:01:10.80
Los Angeles,1932,1500m Freestyle,Men,Swimming,JPN,Kitamura,00:19:12.40
Los Angeles,1932,1500m Freestyle,Men,Swimming,JPN,Makino,00:19:14.10
Los Angeles,1932,1500m Freestyle,Men,Swimming,USA,Cristy,00:19:39.50
Los Angeles,1932,1500m Freestyle,Men,Swimming,AUS,Ryan,00:19:45.10
Los Angeles,1932,1500m Freestyle,Men,Swimming,USA,Crabbe,00:20:02.70
Los Angeles,1932,1500m Freestyle,Men,Swimming,FRA,Taris,00:20:09.70
Los Angeles,1932,200m Breaststroke,Men,Swimming,JPN,Yoshiyuki Tsuruta,00:02:45.40
Los Angeles,1932,200m Breaststroke,Men,Swimming,JPN,Reizo Koike,00:02:46.60
Los Angeles,1932,200m Breaststroke,Men,Swimming,PHI,Yldefonso,00:02:47.10
Los Angeles,1932,200m Breaststroke,Men,Swimming,GER,Sietas,00:02:48.00
Los Angeles,1932,200m Breaststroke,Men,Swimming,PHI,Adjaluddin,00:02:49.20
Los Angeles,1932,200m Breaststroke,Men,Swimming,JPN,Shigeo Nakagawa,00:02:52.80
Los Angeles,1932,200m Breaststroke,Women,Swimming,AUS,Dennis,00:03:06.30
Los Angeles,1932,200m Breaststroke,Women,Swimming,JPN,Hideko Maehata,00:03:06.40
Los Angeles,1932,200m Breaststroke,Women,Swimming,DEN,Jacobsen,00:03:07.10
Los Angeles,1932,200m Breaststroke,Women,Swimming,GBR,Hinton,00:03:11.70
Los Angeles,1932,200m Breaststroke,Women,Swimming,USA,Hoffman,00:03:11.80
Los Angeles,1932,200m Breaststroke,Women,Swimming,USA,Govednik,00:03:16.00
Los Angeles,1932,200m Breaststroke,Women,Swimming,USA,Cadwell,00:03:18.20
Los Angeles,1932,400m Freestyle,Men,Swimming,USA,Crabbe,00:04:48.40
Los Angeles,1932,400m Freestyle,Men,Swimming,FRA,Taris,00:04:48.50
Los Angeles,1932,400m Freestyle,Men,Swimming,JPN,Tsutomi Oyokota,00:04:52.30
Los Angeles,1932,400m Freestyle,Men,Swimming,JPN,Takashi Yokoyama,00:04:52.50
Los Angeles,1932,400m Freestyle,Men,Swimming,JPN,Noboru Sugimoto,00:04:56.10
Los Angeles,1932,400m Freestyle,Men,Swimming,AUS,Charlton,00:04:58.60
Los Angeles,1932,400m Freestyle,Women,Swimming,USA,Madison,00:05:28.50
Los Angeles,1932,400m Freestyle,Women,Swimming,USA,Kight-Wingard,00:05:28.60
Los Angeles,1932,400m Freestyle,Women,Swimming,RSA,Maakal,00:05:47.30
Los Angeles,1932,400m Freestyle,Women,Swimming,GBR,Cooper,00:05:49.70
Los Angeles,1932,400m Freestyle,Women,Swimming,FRA,Godard,00:05:54.40
Los Angeles,1932,400m Freestyle,Women,Swimming,USA,Forbes,00:06:06.00
Los Angeles,1932,4x100 Freestyle Relay,Women,Swimming,USA,,00:04:38.00
Los Angeles,1932,4x100 Freestyle Relay,Women,Swimming,NED,,00:04:47.50
Los Angeles,1932,4x100 Freestyle Relay,Women,Swimming,GBR,,00:04:52.40
Los Angeles,1932,4x100 Freestyle Relay,Women,Swimming,CAN,,00:05:05.70
Los Angeles,1932,4x100 Freestyle Relay,Women,Swimming,JPN,,00:05:06.70
Los Angeles,1932,4x200 Freestyle Relay,Men,Swimming,JPN,,00:08:58.40
Los Angeles,1932,4x200 Freestyle Relay,Men,Swimming,USA,,00:09:10.50
Los Angeles,1932,4x200 Freestyle Relay,Men,Swimming,HUN,,00:09:31.40
Los Angeles,1932,4x200 Freestyle Relay,Men,Swimming,CAN,,00:09:36.30
Los Angeles,1932,4x200 Freestyle Relay,Men,Swimming,GBR,,00:09:45.80
Los Angeles,1932,4x200 Freestyle Relay,Men,Swimming,ARG,,00:10:13.10
Los Angeles,1932,4x200 Freestyle Relay,Men,Swimming,BRA,,00:10:36.50


Berlin,1936,100m Backstroke,Men,Swimming,USA,Kiefer,00:01:05.90
Berlin,1936,100m Backstroke,Men,Swimming,USA,Weghe,00:01:07.70
Berlin,1936,100m Backstroke,Men,Swimming,JPN,Masaji Kiyokawa,00:01:08.40
Berlin,1936,100m Backstroke,Men,Swimming,USA,Drysdale,00:01:09.40
Berlin,1936,100m Backstroke,Men,Swimming,JPN,Kiichi Yoshida,00:01:09.70
Berlin,1936,100m Backstroke,Men,Swimming,JPN,Yashuhiko Kojima,00:01:10.40
Berlin,1936,100m Backstroke,Men,Swimming,AUS,Oliver,00:01:10.70
Berlin,1936,100m Backstroke,Women,Swimming,NED,Senff,00:01:18.90
Berlin,1936,100m Backstroke,Women,Swimming,NED,Mastenbroek,00:01:19.20
Berlin,1936,100m Backstroke,Women,Swimming,USA,Bridges,00:01:19.40
Berlin,1936,100m Backstroke,Women,Swimming,USA,Motridge,00:01:19.60
Berlin,1936,100m Backstroke,Women,Swimming,DEN,Madsen,00:01:20.40
Berlin,1936,100m Backstroke,Women,Swimming,GBR,Frampton,00:01:20.60
Berlin,1936,100m Backstroke,Women,Swimming,GBR,Harding,00:01:21.50
Berlin,1936,100m Freestyle,Men,Swimming,HUN,Csik,00:00:57.60
Berlin,1936,100m Freestyle,Men,Swimming,JPN,Masanori Yusa,00:00:57.90
